mode,phase,ep,step,reward,done,mem_len,learn_flag,ee_x,ee_y,ee_z,dist_out,signed,closest_link
RANDOM,random,1,1,-1.0,0,0,0,-0.108,0.114,1.272,nan,nan,
RANDOM,random,1,2,-1.0,0,0,0,-0.006,-0.126,1.264,nan,nan,
RANDOM,random,1,3,-1.0,0,0,0,0.378,-0.542,1.062,nan,nan,
RANDOM,random,1,4,-1.0,0,0,0,-0.126,0.094,1.099,nan,nan,
RANDOM,random,1,5,-1.0,0,0,0,-0.502,-0.152,1.226,nan,nan,
RANDOM,random,1,6,-1.0,0,0,0,-0.25,0.128,0.709,nan,nan,
RANDOM,random,1,7,-1.0,0,0,0,-0.318,0.201,1.005,nan,nan,
RANDOM,random,1,8,-1.0,0,0,0,0.331,-0.36,1.063,nan,nan,
RANDOM,random,1,9,-1.0,0,0,0,-0.117,-0.012,1.191,nan,nan,
RANDOM,random,1,10,-1.0,0,0,0,0.614,-0.201,0.72,nan,nan,
RANDOM,random,1,11,-1.0,0,0,0,0.021,-0.008,1.379,nan,nan,
RANDOM,random,1,12,-1.0,0,0,0,-0.054,0.09,0.604,nan,nan,
RANDOM,random,1,13,-1.0,0,0,0,-0.77,0.303,0.441,nan,nan,
RANDOM,random,1,14,-1.0,0,0,0,-0.457,-0.415,0.962,nan,nan,
RANDOM,random,1,15,-1.0,0,0,0,0.173,-0.398,0.539,nan,nan,
RANDOM,random,1,16,-1.0,0,0,0,-0.209,-0.371,0.38,nan,nan,
RANDOM,random,1,17,-1.0,0,0,0,-0.399,0.085,1.182,nan,nan,
RANDOM,random,1,18,-1.0,0,0,0,-0.252,-0.499,1.073,nan,nan,
RANDOM,random,1,19,-1.0,0,0,0,0.072,-0.062,1.085,nan,nan,
RANDOM,random,1,20,-1.0,0,0,0,-0.089,-0.032,1.343,nan,nan,
RANDOM,random,1,21,-1.0,0,0,0,-0.036,-0.055,1.185,nan,nan,
RANDOM,random,1,22,-1.0,0,0,0,0.415,0.063,1.07,nan,nan,
RANDOM,random,1,23,-1.0,0,0,0,0.062,0.408,0.771,nan,nan,
RANDOM,random,1,24,-1.0,0,0,0,-0.484,-0.41,0.815,nan,nan,
RANDOM,random,1,25,-1.0,0,0,0,-0.204,0.571,0.831,nan,nan,
RANDOM,random,1,26,-1.0,0,0,0,0.506,-0.364,1.041,nan,nan,
RANDOM,random,1,27,-1.0,0,0,0,0.126,0.503,0.914,nan,nan,
RANDOM,random,1,28,-1.0,0,0,0,-0.572,0.513,1.014,nan,nan,
RANDOM,random,1,29,-1.0,0,0,0,-0.317,0.182,1.113,nan,nan,
RANDOM,random,1,30,-1.0,0,0,0,-0.17,-0.338,1.109,nan,nan,
RANDOM,random,1,31,-1.0,0,0,0,0.39,-0.481,0.914,nan,nan,
RANDOM,random,1,32,-1.0,0,0,0,0.196,-0.555,1.227,nan,nan,
RANDOM,random,1,33,-1.0,0,0,0,-0.006,-0.059,1.394,nan,nan,
RANDOM,random,1,34,-1.0,0,0,0,-0.54,0.472,1.034,nan,nan,
RANDOM,random,1,35,-1.0,0,0,0,0.175,0.593,1.204,nan,nan,
